Rank,Title,Published Date,Views,Likes,Video Link
1,"TOOL - Sober (Official Video)",2019-08-30,97765521,647776,https://www.youtube.com/watch?v=nspxAG12Cpc
2,"TOOL - Schism (Official Video)",2019-08-30,70800853,534696,https://www.youtube.com/watch?v=MM62wjLrgmA
3,"TOOL - The Pot (Audio)",2019-08-02,61341658,322122,https://www.youtube.com/watch?v=civuoU_NE38
4,"TOOL - Forty Six & 2 (Audio)",2019-08-02,58078952,331829,https://www.youtube.com/watch?v=GIuZUCpm9hc
5,"TOOL - Pneuma (Audio)",2019-08-30,54895411,318363,https://www.youtube.com/watch?v=5ClCaPmAA7s
6,"TOOL - Fear Inoculum (Audio)",2019-08-07,40912852,372705,https://www.youtube.com/watch?v=q7DfQMPmJRI
7,"TOOL - Invincible (Audio)",2019-08-30,33725814,172568,https://www.youtube.com/watch?v=hxsld16TjSU
8,"TOOL - Lateralus (Audio)",2019-08-02,31160811,206454,https://www.youtube.com/watch?v=Y7JG63IuaWs
9,"TOOL - Parabola (Official Video)",2019-08-30,29934371,248656,https://www.youtube.com/watch?v=-_nQhGR0K8M
10,"TOOL - Vicarious (Official Video)",2019-08-30,28401904,210656,https://www.youtube.com/watch?v=h_TUP2vuaDs
11,"TOOL - 7empest (Audio)",2019-08-30,27759897,155268,https://www.youtube.com/watch?v=9D2R69gVyZ0
12,"TOOL - Stinkfist",2019-08-30,25151385,201295,https://www.youtube.com/watch?v=6zpvlMp04D0
13,"TOOL - Right In Two (Audio)",2019-08-02,23270065,130733,https://www.youtube.com/watch?v=bndL7wwAj0U
14,"TOOL - Ænema (Audio)",2019-08-02,18996695,115893,https://www.youtube.com/watch?v=rHcmnowjfrQ
15,"TOOL - Jambi (Audio)",2019-08-02,18186988,93161,https://www.youtube.com/watch?v=ed_UWFr13pU
16,"TOOL - Descending (Audio)",2019-08-30,17586369,85605,https://www.youtube.com/watch?v=PcSoLwFisaw
17,"TOOL - Schism (Official Audio)",2019-08-02,15200672,116953,https://www.youtube.com/watch?v=80RtBeB61LE
18,"TOOL - The Grudge (Audio)",2019-08-02,13449642,87176,https://www.youtube.com/watch?v=3BXyEUOuNds
19,"TOOL - Vicarious (Audio)",2019-08-02,13094876,71363,https://www.youtube.com/watch?v=N26N7lQHNW8
20,"TOOL - H. (Official Audio)",2019-08-02,12924030,77330,https://www.youtube.com/watch?v=bg8vTSyHFkQ
